"","CheckoutYear","CheckoutMonth","MaterialType","Checkouts","Title","YrMon","date_full"
"139",2006,2,"BOOK",15,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Feb 2006,2006-02-01
"140",2006,3,"BOOK",22,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Mar 2006,2006-03-01
"141",2006,4,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Apr 2006,2006-04-01
"142",2006,5,"BOOK",13,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",May 2006,2006-05-01
"143",2006,6,"BOOK",35,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jun 2006,2006-06-01
"144",2006,7,"BOOK",37,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jul 2006,2006-07-01
"145",2006,8,"BOOK",25,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Aug 2006,2006-08-01
"146",2006,9,"BOOK",21,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Sep 2006,2006-09-01
"147",2006,10,"BOOK",24,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Oct 2006,2006-10-01
"148",2006,11,"BOOK",15,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Nov 2006,2006-11-01
"149",2006,12,"BOOK",13,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Dec 2006,2006-12-01
"150",2007,1,"BOOK",26,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jan 2007,2007-01-01
"151",2007,2,"BOOK",13,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Feb 2007,2007-02-01
"152",2007,3,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Mar 2007,2007-03-01
"153",2007,4,"BOOK",19,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Apr 2007,2007-04-01
"154",2007,5,"BOOK",15,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",May 2007,2007-05-01
"155",2007,6,"BOOK",15,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jun 2007,2007-06-01
"156",2007,7,"BOOK",25,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jul 2007,2007-07-01
"157",2007,7,"BOOK",2,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jul 2007,2007-07-01
"158",2007,8,"BOOK",17,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Aug 2007,2007-08-01
"159",2007,8,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Aug 2007,2007-08-01
"160",2007,9,"BOOK",23,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Sep 2007,2007-09-01
"161",2007,9,"BOOK",6,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Sep 2007,2007-09-01
"162",2007,10,"BOOK",16,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Oct 2007,2007-10-01
"163",2007,10,"BOOK",6,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Oct 2007,2007-10-01
"164",2007,11,"BOOK",3,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Nov 2007,2007-11-01
"165",2007,11,"BOOK",20,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Nov 2007,2007-11-01
"166",2007,11,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Nov 2007,2007-11-01
"167",2007,12,"BOOK",4,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Dec 2007,2007-12-01
