CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2005,9,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2005,9,BOOK,2,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2005,10,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2005,10,BOOK,1,Holy Bible containing the Old and New Testaments translated out of the original tongues and with the former translations diligently compared and revised King James version
2005,10,BOOK,1,Holy Bible containing the Old and New Testaments New Revised Standard Version
2005,10,BOOK,1,Queen Janes version the Holy Bible for adults only the complete and uncensored translation for a new millenium containing the Old and New Testaments and something to offend everyone
2005,10,BOOK,1,Holy Bible King James version
2005,10,BOOK,2,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2005,11,BOOK,3,Holy Bible NIrV New International Readers Version
2005,11,BOOK,2,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2005,11,BOOK,1,Holy Bible containing the Old and New Testaments New Revised Standard Version
2005,11,BOOK,1,"Holy Bible : the new King James version, containing the Old and New Testaments."
2005,12,BOOK,1,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2005,12,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2005,12,BOOK,2,Holy Bible containing the Old and New Testaments the text carefully printed from the most correct copies of the present authorized translation including the marginal readings and parallel texts with a commentary and critical notes designed
2005,12,BOOK,1,Holy Bible New international version containing the Old Testament and the New Testament
2005,12,BOOK,1,"Holy Bible : the new King James version, containing the Old and New Testaments."
2005,12,BOOK,1,Holy Bible containing the Old and New Testaments translated out of the original tounges and with the former translations diligently compared and revised Authorized King James Version with all proper names divided into syllables accented
2005,12,BOOK,1,Holy Bible NIrV New International Readers Version
2006,1,BOOK,1,"Santa Biblia : NVI, Nueva VersiÌ_n International = Holy Bible : NIV, New International Version."
2006,1,BOOK,4,Holy Bible containing the Old and New Testaments the text carefully printed from the most correct copies of the present authorized translation including the marginal readings and parallel texts with a commentary and critical notes designed
2006,1,BOOK,1,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2006,1,BOOK,2,Holy Bible NIrV New International Readers Version
2006,1,BOOK,1,"Holy Bible : the new King James version, containing the Old and New Testaments."
2006,2,BOOK,1,Holy Bible NIrV New International Readers Version
2006,2,BOOK,2,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
2006,2,BOOK,1,The Holy Bible. As printed by Robert Aitken and approved & recommended by the Congress of the United States of America in 1782.
2006,2,BOOK,2,The Holy Bible [text (large print)] : containing the Old and New Testaments : translated out of the original tongues and with the former translations diligently compared and revised : King James Version.
2006,2,BOOK,2,Holy Bible containing the Old and New Testaments the text carefully printed from the most correct copies of the present authorized translation including the marginal readings and parallel texts with a commentary and critical notes designed
2006,2,BOOK,1,bible according to Einstein a scientific complement to the Holy Bible for the third millennium
2006,3,BOOK,2,The Holy Bible : containing the Old and New Testaments : New Revised Standard Version.
