CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2010,3,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,4,BOOK,21,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2010,4,BOOK,55,In defense of food : an eater's manifesto / Michael Pollan.
2010,4,EBOOK,2,In Defense of Food: An Eater's Manifesto
2010,4,AUDIOBOOK,4,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,5,EBOOK,4,In Defense of Food: An Eater's Manifesto
2010,5,BOOK,50,In defense of food : an eater's manifesto / Michael Pollan.
2010,5,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,5,BOOK,5,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2010,6,BOOK,13,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2010,6,EBOOK,1,In Defense of Food: An Eater's Manifesto
2010,6,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,6,BOOK,43,In defense of food : an eater's manifesto / Michael Pollan.
2010,7,AUDIOBOOK,3,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,7,BOOK,13,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2010,7,BOOK,44,In defense of food : an eater's manifesto / Michael Pollan.
2010,7,EBOOK,4,In Defense of Food: An Eater's Manifesto
2010,8,EBOOK,5,In Defense of Food: An Eater's Manifesto
2010,8,AUDIOBOOK,4,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,8,BOOK,46,In defense of food : an eater's manifesto / Michael Pollan.
2010,8,BOOK,12,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2010,9,EBOOK,3,In Defense of Food: An Eater's Manifesto
2010,9,BOOK,9,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2010,9,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,9,BOOK,27,In defense of food : an eater's manifesto / Michael Pollan.
2010,10,BOOK,7,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2010,10,EBOOK,1,In Defense of Food: An Eater's Manifesto
2010,10,BOOK,28,In defense of food : an eater's manifesto / Michael Pollan.
2010,10,AUDIOBOOK,2,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,11,AUDIOBOOK,5,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,11,BOOK,25,In defense of food : an eater's manifesto / Michael Pollan.
2010,11,BOOK,8,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2010,11,EBOOK,1,In Defense of Food: An Eater's Manifesto
2010,12,AUDIOBOOK,2,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2010,12,EBOOK,3,In Defense of Food: An Eater's Manifesto
2010,12,BOOK,21,In defense of food : an eater's manifesto / Michael Pollan.
2010,12,BOOK,3,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2011,1,EBOOK,1,In Defense of Food: An Eater's Manifesto
2011,1,AUDIOBOOK,3,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2011,1,BOOK,18,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2011,1,BOOK,34,In defense of food : an eater's manifesto / Michael Pollan.
2011,2,BOOK,31,In defense of food : an eater's manifesto / Michael Pollan.
2011,2,BOOK,5,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2011,2,AUDIOBOOK,3,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2011,2,EBOOK,4,In Defense of Food: An Eater's Manifesto
2011,3,BOOK,25,In defense of food : an eater's manifesto / Michael Pollan.
2011,3,BOOK,5,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2011,3,AUDIOBOOK,2,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2011,3,EBOOK,3,In Defense of Food: An Eater's Manifesto
2011,4,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2011,4,BOOK,4,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2011,4,EBOOK,3,In Defense of Food: An Eater's Manifesto
2011,4,BOOK,25,In defense of food : an eater's manifesto / Michael Pollan.
2011,5,BOOK,8,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2011,5,AUDIOBOOK,4,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2011,5,EBOOK,4,In Defense of Food: An Eater's Manifesto
2011,5,BOOK,21,In defense of food : an eater's manifesto / Michael Pollan.
2011,6,BOOK,3,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2011,6,AUDIOBOOK,3,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2011,6,BOOK,27,In defense of food : an eater's manifesto / Michael Pollan.
2011,6,EBOOK,2,In Defense of Food: An Eater's Manifesto
2011,7,AUDIOBOOK,2,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2011,7,BOOK,15,In defense of food : an eater's manifesto / Michael Pollan.
2011,7,EBOOK,4,In Defense of Food: An Eater's Manifesto
2011,7,BOOK,6,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
